Country,GDP per capita (USD),Life satisfaction
Afghanistan  ,20338044,3.2033
Albania,11.586834,4.959
Armenia,13.653764,4.6768
Azerbaijan,14.867943,5.212
Bangladesh,35.116455,4.694
Belgium,48.769727,6.834
Benin,33.231445,5.0452
Bolivia,78.45171,5.7159
Bosnia and Herzegovina,14.509266,5.8131
Brazil,14.063982,6.3301
Bulgaria,22.379094,5.2655
Burundi,73.106323,3.7753
Cambodia,41.915664,4.8304
Cameroon,36.664106,5.1418
Canada,46.064254,7.1033
Chad,15.190367,4.3554
Chile,23.324525,6.1719
Colombia,13.448933,6.0124
Comoros,29.891704,4.2886
Cyprus,38.816094,6.2235
Czechia,38.511.27,6.9647
Denmark,55.819.91,7.6195
Dominican Republic,17.003014,5.5451
Ecuador,10.329199,5.764
Egypt,11.951447,4.2827
El Salvador,79.82626,6.0605
Estonia,35.257.16,6.1888
France,42.320523,6.6899
Gabon,14.320845,4.8518
Gambia,21.567546,5.051
Georgia,13.966326,4.8914
Germany,51.423234,7.1545
Ghana,54.457256,5.0884
Greece,27.072.62,5.7226
Guatemala,83.93284,6.4345
Guinea,26.708232,4.9843
Haiti,29.342458,3.6149
Honduras,51.383853,5.9192
Hong Kong,56.153973,5.4767
Hungary,31.098396,5.9916
